Date,number1,number2,number3,number4,number5,number6,number7,jackpot clamied
31st December 2016,27,29,37,42,45,47,3,13000000 R
28th December 2016,1,3,4,22,29,30,3,9000000 R
24th December 2016,4,11,18,22,30,45,1,7000000 R
21st December 2016,3,21,23,38,39,42,7,4000000 R
17th December 2016,6,24,28,29,34,35,2,3000000 R
14th December 2016,33,34,38,42,43,44,4,691276
10th December 2016,11,17,32,34,37,49,3,7578027
7th December 2016,13,18,36,40,42,48,8,4000000 R
3rd December 2016,5,16,39,43,47,48,9,3000000 R
30th November 2016,1,10,12,19,21,47,6,1415102
26th November 2016,26,32,41,42,45,47,9,2904766
23rd November 2016,4,27,28,31,38,44,7,6533986
19th November 2016,1,2,6,15,38,39,3,4000000 R
16th November 2016,13,19,20,38,39,44,8,1000000 R
12th November 2016,2,6,9,19,20,47,1,4379578 R
9th November 2016,6,13,20,33,39,41,5,5000000 R
5th November 2016,9,32,35,38,42,43,8,4000000 R
2nd November 2016,1,12,19,26,30,48,6,1000000 R
29th October 2016,5,7,8,26,28,36,8,8760598
26th October 2016,11,15,18,43,44,45,6,5000000 R
22nd October 2016,2,21,26,32,36,48,7,4000000 R
19th October 2016,16,32,33,40,42,43,5,1000000 R
15th October 2016,7,13,19,29,38,41,9,13568089
12th October 2016,22,29,35,37,39,47,2,10000000 R
8th October 2016,14,21,32,33,35,48,5,8000000 R
5th October 2016,1,5,6,17,28,41,1,5000000 R
1st October 2016,7,20,25,26,34,37,1,4000000 R
28th September 2016,11,15,38,41,44,46,2,1000000 R
24th September 2016,4,15,18,21,32,45,4,4344796
21st September 2016,1,8,11,18,24,29,5,1000000 R
17th September 2016,3,34,35,37,46,47,2,3083198
14th September 2016,2,3,15,20,31,35,8
10th September 2016,1,3,6,11,24,43,0,29000000 R
7th September 2016,7,11,18,19,21,27,0,25000000 R
3rd September 2016,8,14,18,25,30,36,1,23000000 R
31st August 2016,3,7,31,37,40,41,3,20000000 R
27th August 2016,1,8,22,32,33,43,9,18000000 R
24th August 2016,6,14,16,35,42,48,2,15000000 R
20th August 2016,23,28,30,31,37,45,5,13000000 R
17th August 2016,2,10,30,34,41,49,1,10000000 R
13th August 2016,6,14,28,30,37,39,2,9000000 R
10th August 2016,11,12,17,23,43,49,9,6000000 R
6th August 2016,6,25,26,33,45,47,0,4000000 R
3rd August 2016,15,21,26,34,42,43,6,1000000 R
30th July 2016,6,13,23,26,30,33,2,28932056
27th July 2016,5,6,7,17,18,39,1,25000000 R
23rd July 2016,5,25,29,43,47,48,5,23000000 R
20th July 2016,1,18,20,28,40,49,5,20000000 R
16th July 2016,1,18,22,30,34,44,5,18000000 R
13th July 2016,10,14,20,27,33,41,7,15000000 R
9th July 2016,1,34,37,40,44,49,7,13000000 R
6th July 2016,4,16,18,37,38,42,0,10000000 R
2nd July 2016,4,6,8,15,26,30,9,8000000 R
29th June 2016,4,5,28,32,44,49,4,5000000 R
25th June 2016,2,6,10,11,34,44,3,4000000 R
22nd June 2016,8,19,35,40,41,43,8,1000000 R
18th June 2016,2,8,12,17,19,27,1,2996813
15th June 2016,7,12,13,33,48,49,7,8994882
11th June 2016,6,13,21,27,38,45,5,7000000 R
8th June 2016,2,5,30,33,44,48,6,4000000 R
4th June 2016,5,6,22,31,35,42,3,3000000 R
1st June 2016,19,25,30,35,40,46,2,4535875
28th May 2016,5,9,17,24,39,45,3,7000000 R
25th May 2016,6,9,10,21,30,36,6,4000000 R
21st May 2016,2,5,29,46,47,48,4,3000000 R
18th May 2016,10,13,19,26,31,41,4,1455100
14th May 2016,5,13,15,26,30,44,9
11th May 2016,10,19,20,31,39,41,5,30000000 R
7th May 2016,16,32,34,37,42,44,9,28000000 R
4th May 2016,2,11,14,35,39,49,5,24000000 R
30th April 2016,14,26,28,30,36,43,6,22000000 R
27th April 2016,1,6,9,21,26,37,6,18000000 R
23rd April 2016,8,15,16,17,27,35,4,17000000 R
20th April 2016,1,5,11,13,20,49,8,13000000 R
16th April 2016,5,14,15,20,22,38,9,12000000 R
13th April 2016,2,13,17,35,36,49,7,9000000 R
9th April 2016,1,4,38,39,46,47,2,7000000 R
6th April 2016,6,19,25,30,33,42,4,4000000 R
2nd April 2016,1,10,17,23,28,38,6,3000000 R
30th March 2016,1,5,9,13,26,41,1,5319644
26th March 2016,1,3,31,33,40,41,5,3000000 R
23rd March 2016,9,10,16,22,31,44,0,9106378
19th March 2016,4,10,15,37,44,49,5,7000000 R
16th March 2016,9,11,26,29,35,46,6,4000000 R
12th March 2016,20,26,30,39,47,49,4,3000000 R
9th March 2016,10,13,32,37,46,48,7,6019797
5th March 2016,7,10,33,37,43,46,3,4000000 R
2nd March 2016,1,8,10,16,17,40,9,1000000 R
27th February 2016,7,10,15,25,37,49,7,4466455
24th February 2016,5,13,23,31,47,48,5,1000000 R
20th February 2016,1,13,16,29,30,31,6,4529955
17th February 2016,24,26,32,35,38,39,3,1000000 R
13th February 2016,18,20,30,32,43,45,8,9649160
10th February 2016,2,17,19,32,34,38,4,15000000 R
6th February 2016,10,16,25,28,34,49,5,14000000 R
3rd February 2016,10,18,19,31,33,47,8,10000000 R
30th January 2016,18,23,33,34,40,48,9,9000000 R
27th January 2016,12,14,16,19,29,47,3,5000000 R
23rd January 2016,2,16,25,26,27,40,0,4000000 R
20th January 2016,7,12,14,15,19,46,3,1000000 R
16th January 2016,9,21,23,31,34,39,8,4502793
13th January 2016,14,18,19,25,35,46,0,1000000 R
9th January 2016,10,13,31,34,46,48,6,6850686
6th January 2016,3,12,27,36,42,45,0,10000000 R
2nd January 2016,1,23,30,35,43,47,8,9000000 R
