 25th July 2018	:8:9:39:40:41:43:9:€1,000,000 R
 21st July 2018	:1:6:7:20:29:49:5:€6,931,435
 18th July 2018	:5:14:19:22:33:41:1:€4,000,000 R
 14th July 2018	:30:40:41:47:48:49:0:€2,000,000 R
 11th July 2018	:1:3:18:28:42:44:5:€5,322,768
 7th July 2018	:2:5:13:18:25:36:2:€4,000,000 R
 4th July 2018	:1:5:10:25:32:37:8:€1,000,000 R
 30th June 2018	:16:24:37:38:40:42:9:€10,578,110
 27th June 2018	:13:17:35:37:45:46:3:€5,000,000 R
 23rd June 2018	:6:17:25:29:48:49:1:€4,000,000 R
 20th June 2018	:6:22:31:33:36:43:5:€1,000,000 R
 16th June 2018	:4:19:31:33:40:46:2:€8,098,317
 13th June 2018	:3:4:6:10:46:48:3:€5,000,000 R
 9th June 2018	:13:16:34:35:39:42:9:€4,000,000 R
 6th June 2018	:3:8:13:15:18:42:6:€1,000,000 R
 2nd June 2018	:1:10:19:24:30:31:7:€3,433,497
 30th May 2018	:15:23:29:35:38:48:2:€4,000,000 R
 26th May 2018	:10:16:24:27:47:48:6:€3,000,000 R
 23rd May 2018	:7:16:29:36:45:47:6:€11,352,208
 19th May 2018	:3:4:27:41:44:49:2:€6,000,000 R
 16th May 2018	:2:12:13:19:34:46:9:€4,000,000 R
 12th May 2018	:23:27:29:36:38:42:0:€3,000,000 R
 9th May 2018	:3:9:25:31:37:43:5:€8,299,495
 5th May 2018	:1:5:17:31:34:49:7:€7,000,000 R
 2nd May 2018	:3:5:12:19:42:44:7:€4,000,000 R
 28th April 2018	:2:9:11:33:47:48:4:€2,000,000 R
 25th April 2018	:4:6:10:11:17:25:6:€8,298,865
 21st April 2018	:12:15:19:23:29:38:5:€7,000,000 R
 18th April 2018	:2:4:7:10:35:37:8:€4,000,000 R
 14th April 2018	:4:9:33:34:42:47:6:€3,000,000 R
 11th April 2018	:9:20:25:27:44:48:5:€2,047,240
 7th April 2018	:12:15:19:27:34:47:8:€7,135,159
 4th April 2018	:13:23:28:30:33:46:7:€4,000,000 R
 31st March 2018	:1:8:12:15:46:48:5:€3,000,000 R
 28th March 2018	:1:23:25:31:38:47:7:€2,490,206
 24th March 2018	:3:16:27:34:42:45:1:€3,000,000 R
 21st March 2018	:20:26:29:38:43:48:0:€14,033,932
 17th March 2018	:1:7:17:22:29:46:7:€11,000,000 R
 14th March 2018	:13:18:30:38:45:48:7:€8,000,000 R
 10th March 2018	:8:19:34:35:40:49:8:€7,000,000 R
 7th March 2018	:5:24:28:30:35:42:1:€4,000,000 R
 3rd March 2018	:5:24:28:37:40:44:8:€3,000,000 R
 28th February 2018	:6:15:32:36:43:47:6:€1,337,526
 24th February 2018	:18:27:33:41:44:47:6:€8,544,076
 17th February 2018	:15:18:26:27:37:42:2:€1,000,000 R
 10th February 2018	:17:20:27:35:41:45:8:€7,366,168
 7th February 2018	:15:20:25:28:33:41:5:€4,000,000 R
 3rd February 2018	:5:9:13:20:39:48:5:€3,000,000 R
 31st January 2018	:3:6:8:26:29:38:8:€8,813,840
 27th January 2018	:4:22:24:34:36:43:6:€7,000,000 R
 24th January 2018	:3:5:18:31:37:45:7:€4,000,000 R
 20th January 2018	:3:11:15:18:33:45:4:€3,000,000 R
 17th January 2018	:3:13:25:27:32:48:2:€16,244,272
 13th January 2018	:5:6:14:16:31:48:0:€14,000,000 R
 10th January 2018	:3:22:24:25:43:45:6:€11,000,000 R
 6th January 2018	:5:14:32:37:46:47:0:€10,000,000 R
 3rd January 2018	:10:15:31:34:35:45:8:€6,000,000 R
