Date,number1,number2,number3,number4,number5,number6,number7,jackpot clamied
30th December 2017,11,12,14,27,37,48,0,5000000 R
27th December 2017,17,19,31,37,45,46,0,1000000 R
23rd December 2017,4,11,31,32,38,39,6,18961293
20th December 2017,8,13,35,38,39,44,4,15000000 R
16th December 2017,5,6,18,23,30,40,9,13000000 R
13th December 2017,2,3,9,14,17,27,0,10000000 R
9th December 2017,7,12,16,20,25,46,7,8000000 R
6th December 2017,11,18,19,29,35,43,9,5000000 R
2nd December 2017,3,12,13,17,18,33,2,4000000 R
29th November 2017,9,16,25,28,30,32,8,1000000 R
25th November 2017,11,17,20,26,37,43,9,8574680
22nd November 2017,24,28,29,32,34,48,9,5000000 R
18th November 2017,2,5,9,12,20,35,7,4000000 R
15th November 2017,6,23,35,40,45,46,5,1000000 R
11th November 2017,1,7,11,16,19,37,7,17830561
8th November 2017,7,14,24,37,38,43,7,14000000 R
4th November 2017,3,7,14,21,46,47,6,13000000 R
1st November 2017,3,8,15,18,21,31,9,10000000 R
28th October 2017,1,20,22,24,33,36,1,8000000 R
25th October 2017,1,18,29,32,36,42,8,5000000 R
21st October 2017,4,10,15,25,34,46,1,4000000 R
18th October 2017,4,7,10,11,13,38,4,1000000 R
14th October 2017,7,9,10,13,35,40,7,13121323
11th October 2017,3,6,17,20,21,42,7,10000000 R
7th October 2017,11,20,21,24,30,49,6,8000000 R
4th October 2017,11,15,16,17,19,45,4,5000000 R
30th September 2017,4,18,19,23,33,46,1,4000000 R
27th September 2017,17,20,25,31,33,37,6,1000000 R
23rd September 2017,10,15,19,23,38,44,6,8537139
20th September 2017,3,9,28,30,36,46,3,5000000 R
16th September 2017,21,26,27,31,35,47,9,4000000 R
13th September 2017,11,16,17,18,30,40,6,1000000 R
9th September 2017,8,14,18,27,40,49,3,17629073
6th September 2017,12,16,19,28,33,48,3,14000000 R
2nd September 2017,3,5,8,14,33,34,6,12000000 R
30th August 2017,5,7,9,21,29,34,3,9000000 R
26th August 2017,2,11,19,24,28,49,9,8000000 R
23rd August 2017,16,23,25,28,32,49,6,5000000 R
